Name,Classification,Habitat,Diet
Tiger,Mammal,Forest,Carnivore
Rhino,Mammal,Plains,Herbivore
Condore,Bird,Mountains,Carnivore
Nautillus,Fish,Salt Water,Carnivore
Slug,Gastropod,Humid Areas,Omnivore
Scorpian,Arachnid,Desert,Carnivore
Rattle Snake,Reptile,Desert,Carnivore
Rabbit,Mammal,Land,Herbivore
Burrowing Owl,Bird,Desert,Carnivore
Possum,Marsupial,Land,Omnivore
Coyote,Mammal,Land,Carnivore
Barnacle,Gastropod,Salt Water,Omnivore
Sea Star,Echinoderm,Salt Water,Carnivore
Moray Eel,Fish,Salt Water,Carnivore
Harbor Seal,Mammal,Salt Water,Carnivore
Sea Urchin,Echinoderm,Salt Water,Herbivore
Bald Eagle,Bird,Land,Carnivore
Dog,Mammal,Land,Carnivore
Elk,Mammal,Temperate Forests,Herbivore
Kangaroo,Marsupial,Plains,Herbivore
Human,Mammal,Land,Omnivore
