Name,Classification,Habitat,Diet
Scorpian,Arachnid,Desert,Carnivore
Bald Eagle,Bird,Land,Carnivore
Burrowing Owl,Bird,Desert,Carnivore
Condore,Bird,Mountains,Carnivore
Sea Star,Echinoderm,Salt Water,Carnivore
Sea Urchin,Echinoderm,Salt Water,Herbivore
Moray Eel,Fish,Salt Water,Carnivore
Nautillus,Fish,Salt Water,Carnivore
Barnacle,Gastropod,Salt Water,Omnivore
Slug,Gastropod,Humid Areas,Omnivore
Coyote,Mammal,Land,Carnivore
Dog,Mammal,Land,Carnivore
Elk,Mammal,Temperate Forests,Herbivore
Harbor Seal,Mammal,Salt Water,Carnivore
Human,Mammal,Land,Omnivore
Rabbit,Mammal,Land,Herbivore
Rhino,Mammal,Plains,Herbivore
Tiger,Mammal,Forest,Carnivore
Kangaroo,Marsupial,Plains,Herbivore
Possum,Marsupial,Land,Omnivore
Rattle Snake,Reptile,Desert,Carnivore
